%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2024 249 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.30000 46.00 25.60 101.19 0.00 32.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 16.00 261.00 73.00
2024 249 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 51.00 23.90 101.23 0.00 0.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 76.00
2024 249 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.70000 55.00 22.80 101.27 0.00 0.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 76.00
2024 249 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 56.00 22.10 101.25 0.00 0.00 -999.00 339.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 76.00
2024 249 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.40000 56.00 21.40 101.27 0.00 0.00 -999.00 338.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 84.00
2024 250 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 57.00 20.90 101.27 0.00 0.00 -999.00 339.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 83.00
2024 250 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 60.00 20.60 101.27 0.00 0.00 -999.00 339.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
2024 250 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.10000 61.00 20.20 101.24 0.00 0.00 -999.00 338.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 81.00
2024 250 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.10000 62.00 19.80 101.22 0.00 0.00 -999.00 338.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
2024 250 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 63.00 19.50 101.22 0.00 0.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
2024 250 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 64.00 19.10 101.23 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
2024 250 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.80000 64.00 19.00 101.23 0.00 2.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 2.00 0.00 83.00
2024 250 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 64.00 19.40 101.26 0.00 64.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 38.00 222.00 84.00
2024 250 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.60000 61.00 20.70 101.25 0.00 199.00 -999.00 335.00 -999.00 -999.00 -999.00 -999.00 64.00 502.00 82.00
2024 250 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 55.00 22.30 101.26 0.00 343.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 82.00 639.00 87.00
2024 250 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.20000 49.00 23.90 101.24 0.00 473.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 94.00 721.00 92.00
2024 250 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.70000 44.00 25.50 101.20 0.00 573.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 100.00 772.00 90.00
2024 250 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.20000 38.00 26.90 101.17 0.00 633.00 -999.00 348.00 -999.00 -999.00 -999.00 -999.00 105.00 794.00 93.00
2024 250 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.40000 35.00 27.80 101.15 0.00 647.00 -999.00 352.00 -999.00 -999.00 -999.00 -999.00 106.00 799.00 96.00
2024 250 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.00000 34.00 28.30 101.09 0.00 614.00 -999.00 356.00 -999.00 -999.00 -999.00 -999.00 104.00 786.00 96.00
